what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025413171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025418789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333025430672
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333025435983
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333025444557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025444898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025550309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025552644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025577007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025579946
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025623260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333025651952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025652385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025661054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025668849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025716389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025728723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025730554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025731424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025732244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025735441
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025740985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333025762003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333025795988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025807859
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025937491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025953554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025961044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025969322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025972519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333026001152
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026004371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026009092
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333026013741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026017270
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026018772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026020779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026027235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333026032788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333026035929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026038541
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026039308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026040082
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333026040623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333026052905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333026067411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333026074614
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333026107145
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333026108943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333026115944
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1333026119262
