what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_31-b04-415-10M3646",1335791940532
java.specification.name,sysinfo,,,"Java Platform API Specification",1335791940532
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335791940532
java.specification.version,sysinfo,,,"1.6",1335791940532
java.vendor,sysinfo,,,"Apple Inc.",1335791940532
java.version,sysinfo,,,"1.6.0_31",1335791940532
java.vm.info,sysinfo,,,"mixed mode",1335791940532
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335791940532
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335791940532
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335791940532
java.vm.specification.version,sysinfo,,,"1.0",1335791940532
java.vm.vendor,sysinfo,,,"Apple Inc.",1335791940532
java.vm.version,sysinfo,,,"20.6-b01-415",1335791940532
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1335791940603
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1335791940772
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1335791941020
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1335791941270
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1335791943482
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1335791944683
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1335791944823
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1335791945477
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1335791945617
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1335791945807
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1335791946217
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1335791946262
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1335791946290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335791998639
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335791998684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335792004771
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335792020666
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335792025260
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335792025453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335792037029
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1335792037932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335792085760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335792094044
started,bundle,org.eclipse.mylyn.java.tasks,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.tasks",1335792114958
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1335792115015
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1335792115026
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1335792115931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335792115956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1335792121661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335792122330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1335792128603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1335792129145
